versao;tipo;cnpj;passivoTotal;periodo;ativoTotal;ativoCirc;caixa;aplicacoesFin;disponivel;contasReceber;estoques;ativoLP;passivoCirc;passivoLP;dividaBruta;dividaLiq;patLiq;receitaBruta;cmv;lucroBruto;despesasOper;lucroOper;receitasDespesasFin;impostoRenda;lair;lucroLiq;dividendosPagos;jcp;total_shares;on_shares;pn_shares;ano;trimestre
1.0;1.0;17.155.730/0001-64;54085360000;2023.1T;54085360000;13138051000;1600178000;1356927000;2957105000;5068950000;0;40947309000;11021804000;20266126000;31287930000;28330825000;22797430000;8646937000;-6562108000;2084829000;-225524000;1859305000;-105914000;-355185000.0;1753391000;1398206000;0;424226000;2861781895;956601911;1905179984;2023;1
2.0;1.0;42.150.391/0001-70;90449471000;2023.1T;90449471000;36636695000;12383167000;3828377000;16211544000;5228099000;13781514000;53812776000;24057150000;59239396000;83296546000;67085002000;7152925000;19446048000;-18461216000;984832000;-488763000;496069000;-351914000;98293000.0;144155000;242448000;0;0;797207834;451668652;345539182;2023;1
2.0;1.0;33.042.730/0001-04;83866380000;2023.2T;83866380000;28283039000;11975423000;1204679000;13180102000;2671612000;9508614000;55583341000;18537814000;44708983000;63246797000;50066695000;20619583000;10989111000;-8745660000;2243451000;-1102487000;1140964000;-1185909000;328243000.0;-44945000;283298000;0;0;1326093947;1326093947;0;2023;2
1.0;1.0;07.859.971/0001-30;18812340000;2023.2T;18812340000;3598345000;1323640000;0;1323640000;334517000;0;15213995000;1189144000;10933895000;12123039000;10799399000;6689301000;678504000;-240191000;438313000;32407000;470720000;-243267000;-7127000.0;227453000;220326000;0;0;1033496721;590714069;442782652;2023;2
1.0;1.0;53.113.791/0001-22;10923298000;2023.2T;10923298000;6418775000;2720311000;0;2720311000;529777000;0;4504523000;3755770000;2479740000;6235510000;3515199000;4687788000;1087915000;-330517000;757398000;-588540000;168858000;-3681000;-53345000.0;165177000;103897000;0;0;617183181;617183181;0;2023;2
1.0;1.0;33.256.439/0001-39;34278485000;2023.2T;34278485000;16589582000;5378068000;337427000;5715495000;4643694000;3686864000;17688903000;8439751000;13232073000;21671824000;15956329000;12606661000;29592540000;-27920269000;1672271000;-1157669000;514602000;-216723000;-59188000.0;297879000;238691000;0;0;1115404268;1115404268;0;2023;2
2.0;1.0;50.746.577/0001-15;135039459000;2023.2T;135039459000;28005492000;15739290000;0;15739290000;3632232000;1765603000;107033967000;16938410000;72246375000;89184785000;73445495000;45854674000;10010456000;-7135119000;2875337000;-645784000;2229553000;-3142776000;466482000.0;-913223000;-446741000;0;0;1874070932;1874070932;0;2023;2
1.0;1.0;16.404.287/0001-55;138278619000;2023.2T;138278619000;38062299000;11860415000;7913730000;19774145000;6488192000;6422496000;100216320000;14849595000;80729011000;95578606000;75804461000;42700013000;9159634000;-6228181000;2931453000;137224000;3068677000;4535679000;-2526733000.0;7604356000;5077623000;0;0;1304117615;1304117615;0;2023;2
1.0;1.0;09.346.601/0001-25;47176955000;2023.2T;47176955000;16141927000;2170662000;12092050000;14262712000;504895000;0;31035028000;9946058000;16677814000;26623872000;12361160000;20553083000;2477122000;-246900000;2230222000;-855907000;1374315000;102750000;-424123000.0;1477065000;1052942000;0;0;5546500000;5546500000;0;2023;2
1.0;1.0;07.689.002/0001-89;51703925000;2023.2T;51703925000;30035236000;6538496000;3703056000;10241552000;1052075000;13921973000;21668689000;19781353000;18636277000;38417630000;28176078000;13286295000;6359821000;-5261934000;1097887000;-747707000;350180000;-360818000;-121765000.0;-10638000;-132403000;0;0;740465044;740465044;0;2023;2
1.0;1.0;00.001.180/0001-26;263464041000;2023.2T;263464041000;43749223000;12996157000;7197301000;20193458000;4525786000;465961000;219714818000;29840306000;122159331000;151999637000;131806179000;111464404000;9245530000;-4411148000;4834382000;863251000;5697633000;-3558589000;-523503000.0;2139044000;1618904000;0;0;2307099812;2027011498;280088314;2023;2
1.0;1.0;61.079.117/0001-05;7766710000;2023.2T;7766710000;2923675000;414288000;0;414288000;768294000;1350123000;4843035000;1168828000;1286811000;2455639000;2041351000;5311071000;926359000;-548739000;377620000;-442706000;-65086000;-32832000;44823000.0;-97918000;-53095000;0;0;683062222;339510689;343551533;2023;2
1.0;1.0;84.429.695/0001-11;29101227000;2023.2T;29101227000;20237039000;4918937000;561522000;5480459000;5936243000;7466742000;8864188000;10724454000;2546250000;13270704000;7790245000;15830523000;8171322000;-5416778000;2754544000;-1073271000;1681273000;35882000;-307368000.0;1717155000;1409787000;0;0;4197317998;4197317998;0;2023;2
1.0;1.0;08.807.432/0001-10;9722947000;2023.2T;9722947000;2576916000;813765000;340327000;1154092000;1186552000;0;7146031000;1654402000;4916493000;6570895000;5416803000;3152052000;1307960000;-550337000;757623000;-544612000;213011000;-175881000;-5081000.0;37130000;32049000;0;0;309088851;309088851;0;2023;2
2.0;1.0;97.837.181/0001-47;16154254000;2023.2T;16154254000;5008402000;1648116000;0;1648116000;1372610000;1616997000;11145852000;3574845000;6451002000;10025847000;8377731000;6128407000;1953755000;-1275649000;678106000;-312387000;365719000;-186858000;-21478000.0;178861000;157383000;0;0;820566246;820566246;0;2023;2
2.0;1.0;00.864.214/0001-06;65091337000;2023.2T;65091337000;17539274000;3587466000;4990738000;8578204000;3939010000;160409000;47552063000;14258108000;35940341000;50198449000;41620245000;14892888000;6586066000;-4824996000;1761070000;-377544000;1383526000;-504234000;-222578000.0;879292000;656714000;0;0;2289424663;887231247;1402193416;2023;2
2.0;1.0;03.220.438/0001-73;95701577000;2023.2T;95701577000;23417042000;5243983000;4343351000;9587334000;11458494000;219777000;72284535000;16942206000;56926546000;73868752000;64281418000;21832825000;9201477000;-6438133000;2763344000;-961568000;1801776000;-1097823000;-33303000.0;703953000;670650000;0;0;1147108197;1147108197;0;2023;2
1.0;1.0;10.629.105/0001-68;25991952000;2023.2T;25991952000;3664023000;1155253000;0;1155253000;1357896000;729200000;22327929000;4067412000;11170652000;15238064000;14082811000;10753888000;2311206000;-843072000;1468134000;-286945000;1181189000;-341054000;834000.0;840135000;840969000;0;0;892059934;892059934;0;2023;2
1.0;1.0;02.800.026/0001-40;25607796000;2023.2T;25607796000;4643705000;320957000;1272807000;1593764000;2032328000;505222000;20964091000;3286196000;9089244000;12375440000;10781676000;13232356000;1386677000;-502960000;883717000;-736330000;147387000;-222348000;10054000.0;-74961000;-64907000;0;0;1876606210;1876606210;0;2023;2
1.0;1.0;33.611.500/0001-19;73795457000;2023.2T;73795457000;30316106000;2556042000;1628600000;4184642000;5593428000;16980891000;43479351000;10310529000;14327916000;24638445000;20453803000;49157012000;18265370000;-14987029000;3278341000;-393437000;2884904000;-422735000;-319446000.0;2462169000;2142723000;0;0;2108480460;720631730;1387848730;2023;2
2.0;1.0;02.558.157/0001-62;120157398000;2023.2T;120157398000;19903634000;5404821000;1082000;5405903000;8509660000;760812000;100253764000;22825416000;28629610000;51455026000;46049123000;68702372000;12732709000;-7045082000;5687627000;-3815173000;1872454000;-485823000;-265646000.0;1386631000;1120985000;0;0;1652588360;1652588360;0;2023;2
1.0;1.0;60.840.055/0001-31;11509984000;2023.2T;11509984000;2737577000;31512000;879132000;910644000;1486024000;132464000;8772407000;1992479000;4408921000;6401400000;5490756000;5108584000;1659541000;-1204442000;455099000;-257342000;197757000;-99510000;-24205000.0;98247000;74042000;0;0;547191026;547191026;0;2023;2
1.0;1.0;08.312.229/0001-73;5708397000;2023.2T;5708397000;2329851000;47806000;733611000;781417000;280090000;1232062000;3378546000;453463000;611308000;1064771000;283354000;4643626000;242732000;-164151000;78581000;-20380000;58201000;23096000;-5785000.0;81297000;75512000;0;0;220989103;220989103;0;2023;2
2.0;1.0;07.526.557/0001-00;133294415000;2023.2T;133294415000;34324091000;12117013000;313504000;12430517000;4877669000;12055022000;98970324000;34121757000;12806687000;46928444000;34497927000;86365971000;18898114000;-9635609000;9262505000;-5817088000;3445417000;-1073484000;225827000.0;2371933000;2597760000;0;0;15757657336;15757657336;0;2023;2
1.0;1.0;33.000.167/0001-01;990459000000;2023.2T;990459000000;136816000000;49882000000;11103000000;60985000000;21041000000;39241000000;853643000000;151599000000;466579000000;618178000000;557193000000;372281000000;113840000000;-56159000000;57681000000;-15710000000;41971000000;-269000000;-12766000000.0;41702000000;28936000000;0;0;13044496930;7442454142;5602042788;2023;2
1.0;1.0;67.620.377/0001-14;19866668000;2023.2T;19866668000;11661139000;3932497000;2264774000;6197271000;2088319000;1685326000;8205529000;7749486000;11211316000;18960802000;12763531000;905866000;7276483000;-5764102000;1512381000;-940976000;571405000;-427084000;-23589000.0;144321000;120732000;0;0;607283407;607283407;0;2023;2
1.0;1.0;92.690.783/0001-09;74835364000;2023.2T;74835364000;31347118000;2556083000;2591525000;5147608000;5593428000;16980891000;43488246000;10353815000;14325434000;24679249000;19531641000;50156115000;18265370000;-14987029000;3278341000;-425547000;2852794000;-391533000;-328739000.0;2461261000;2132522000;0;0;1032705804;365111201;667594603;2023;2
1.0;1.0;89.637.490/0001-45;49258411000;2023.2T;49258411000;11645316000;4071480000;1952298000;6023778000;2320134000;2719210000;37613095000;6276431000;28736117000;35012548000;28988770000;14245863000;4292579000;-2550670000;1741909000;-614320000;1127589000;155990000;-312880000.0;1283579000;970699000;0;0;6179682031;2289901455;3889780576;2023;2
1.0;1.0;02.429.144/0001-93;72444954000;2023.2T;72444954000;16629021000;5010217000;265397000;5275614000;5078312000;165750000;55815933000;18219747000;35167912000;53387659000;48112045000;19057295000;9388917000;-6356444000;3032473000;-534556000;2497917000;-685330000;-565635000.0;1812587000;1246952000;0;0;1152254440;1152254440;0;2023;2
2.0;1.0;04.423.567/0001-21;42790694000;2023.2T;42790694000;5326809000;1215205000;471472000;1686677000;1255507000;731097000;37463885000;4684365000;22830240000;27514605000;25827928000;15276089000;2523334000;-1486254000;1037080000;-230253000;806827000;-308277000;-108622000.0;498550000;389928000;0;0;1584697571;1584697571;0;2023;2
